,Movie Name,Link,MPA,User Score,Overview,Genre,Duration,Released Date,Budget,Revenue
0,The Wrecking Crew,https://www.themoviedb.org/movie/1168190-the-wrecking-crew,R,65,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.","Action,Comedy,Crime,Mystery",2h 2m,01/28/2026 (US),-,-
1,Greenland 2: Migration,https://www.themoviedb.org/movie/840464-greenland-2-migration,PG-13,65,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","Adventure,Thriller,Science Fiction",1h 38m,01/09/2026 (US),"$90,000,000.00","$11,416,907.00"
2,Zootopia 2,https://www.themoviedb.org/movie/1084242-zootopia-2,PG,76,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Animation,Comedy,Adventure,Family,Mystery",1h 48m,11/26/2025 (US),"$150,000,000.00","$1,744,338,246.00"
3,The Shadow's Edge,https://www.themoviedb.org/movie/1419406,NR,72,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action,Crime,Drama,Thriller",2h 22m,08/22/2025 (US),-,"$174,400,000.00"
4,Anaconda,https://www.themoviedb.org/movie/1234731-anaconda,PG-13,60,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.","Adventure,Comedy,Horror",1h 40m,12/25/2025 (US),"$45,000,000.00","$129,019,155.00"
5,96 Minutes,https://www.themoviedb.org/movie/1271895-96,12,69,"Former bomb disposal expert, Song Kang-Ren, and his fiancée, Huang Xin, board a high-speed train that contains a bomb. At the same time, Liu Kai, a well-known physics teacher who was involved in an affair scandal, also boards this same train in order to win back his wife, Ting Juan, who took the prior high-speed rail to return home in frustration…  After all, can the bomb be successfully defused this time? and resolve the crisis?","Action,Crime,Romance",1h 57m,09/05/2025 (TW),-,-
6,The Internship,https://www.themoviedb.org/movie/1584215-the-internship,Not Rated,61,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",Action,1h 31m,01/13/2026 (US),-,-
7,The Rip,https://www.themoviedb.org/movie/1306368-the-rip,R,70,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.","Action,Thriller,Crime",1h 53m,01/13/2026 (US),"$100,000,000.00",-
8,Avatar: Fire and Ash,https://www.themoviedb.org/movie/83533-avatar-fire-and-ash,PG-13,73,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.","Science Fiction,Adventure,Fantasy",3h 18m,12/19/2025 (US),"$350,000,000.00","$1,378,692,505.00"
9,Predator: Badlands,https://www.themoviedb.org/movie/1242898-predator-badlands,PG-13,78,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","Action,Science Fiction,Adventure",1h 47m,11/07/2025 (US),"$105,000,000.00","$184,561,056.00"
